Assigned SE,Company / Account,Activity Type,Date,Need SE Assigned?
SE5,Company65,New Business Meeting,3/23/2023,No
SE5,Company125,Other,3/24/2023,No
SE5,Company227,New Business Meeting,4/24/2023,Yes
SE5,Company227,New Business Meeting,4/24/2023,Yes
SE5,Company195,Deal Progression Call,3/27/2023,No
SE5,Company195,Deal Progression Call,3/27/2023,No
SE5,Company69,New Business Meeting,3/22/2023,
SE5,Company69,New Business Meeting,3/22/2023,
SE5,Company25,New Business Meeting,4/5/2023,Yes
SE5,Company25,New Business Meeting,4/5/2023,Yes
SE5,Company28,Deal Progression Call,3/29/2023,No
SE5,Company28,Deal Progression Call,3/29/2023,No
SE5,Company28,Deal Progression Call,3/29/2023,
SE5,Company28,Deal Progression Call,3/29/2023,No
SE5,Company28,Deal Progression Call,3/29/2023,No
SE5,Company220,Deal Progression Call,3/29/2023,No
SE5,Company220,Deal Progression Call,3/29/2023,No
SE5,Company28,Deal Progression Call,3/29/2023,No
SE5,Company28,Deal Progression Call,3/29/2023,No
SE5,Company202,Deal Progression Call,3/29/2023,No
SE5,Company202,Deal Progression Call,3/29/2023,No
SE5,Company28,Deal Progression Call,3/29/2023,No
SE5,Company28,Deal Progression Call,3/29/2023,No
SE5,Company28,Deal Progression Call,3/29/2023,No
SE5,Company28,Deal Progression Call,3/29/2023,No
SE5,Company43,Deal Progression Call,3/30/2023,No
SE5,Company43,Deal Progression Call,3/30/2023,No
SE5,Company61,Deal Progression Call,3/30/2023,No
SE5,Company61,Deal Progression Call,3/30/2023,No
SE5,Company28,Deal Progression Call,3/30/2023,No
SE5,Company28,Deal Progression Call,3/30/2023,No
SE5,Company96,Deal Progression Call,3/30/2023,No
SE5,Company96,Deal Progression Call,3/30/2023,No
SE5,Company220,Deal Progression Call,3/30/2023,No
SE5,Company220,Deal Progression Call,3/30/2023,No
SE5,Company220,Deal Progression Call,3/30/2023,No
SE5,Company220,Deal Progression Call,3/30/2023,No
SE5,Company43,Deal Progression Call,3/30/2023,No
SE5,Company43,Deal Progression Call,3/30/2023,No
SE5,Company28,Deal Progression Call,3/30/2023,No
SE5,Company28,Deal Progression Call,3/30/2023,No
SE5,Company28,Deal Progression Call,3/30/2023,No
SE5,Company28,Deal Progression Call,3/30/2023,No
SE5,Company43,Deal Progression Call,3/30/2023,No
SE5,Company43,Deal Progression Call,3/30/2023,No
SE5,Company43,Deal Progression Call,3/30/2023,No
SE5,Company43,Deal Progression Call,3/30/2023,No
SE5,Company28,Deal Progression Call,3/30/2023,No
SE5,Company28,Deal Progression Call,3/30/2023,No
SE5,Company51,Deal Progression Call,4/17/2023,No
SE5,Company51,Deal Progression Call,4/17/2023,No
SE5,Company25,New Business Meeting,4/5/2023,Yes
SE5,Company227,New Business Meeting,4/24/2023,Yes
